	read_name	read_seq	umi_seq	umi_start	umi_end	cigar	potential_concatamer
13b2b528-edd1-4002-910d-53e14149ae5b	20	*	*	0	16	*	False
5d8ce479-a645-486a-8f54-946095622ef8	20	*	*	0	16	*	False
80cdeb6b-52b0-4652-953e-cd77c9e2063b	20	*	*	0	16	*	False
e9b304fd-b0c7-471e-a7e5-4e0ddf6d059f	20	*	*	0	16	*	False
bb685d66-e1cb-44c2-b420-d39d293a8446	20	*	*	0	16	*	False
1c6e2308-51e8-400a-b4fd-17913ff86b93	4	*	*	0	16	*	False
625e0c93-319c-4bca-a657-301f535ef489	20	*	*	0	16	*	False
1f7ef841-c645-415b-84ce-53d5e3dd10f6	20	*	*	0	16	*	False
3afe4c36-d7e0-499a-9693-341fdeb9d6eb	4	*	*	0	16	*	False
3b382ebf-9ec3-4791-9b9b-127358d4e65e	20	*	*	0	16	*	False
83d105a5-27f5-4300-9d70-26c15519b88c	20	*	*	0	16	*	False
0a18c3b9-34b2-4a60-900e-b2060a5e018f	20	*	*	0	16	*	False
5978932d-dd3a-4c8c-8200-d8f00789b190	20	*	*	0	16	*	False
6138686f-4a00-4033-8f24-031524cb2064	20	*	*	0	16	*	False
6d14735a-f174-4059-835b-cc96d96ac0d8	20	*	*	0	16	*	False
